Source Port,Destination Port,NAT Source Port,NAT Destination Port,Action,Bytes,Bytes Sent,Bytes Received,Packets,Elapsed Time (sec),pkts_sent,pkts_received
61913,445,0,0,drop,70,70,0,1,0,1,0
49163,445,0,0,drop,70,70,0,1,0,1,0
59282,51050,0,0,deny,66,66,0,1,0,1,0
16370,56205,0,0,deny,62,62,0,1,0,1,0
52356,55442,0,0,deny,66,66,0,1,0,1,0
55296,23718,0,0,deny,66,66,0,1,0,1,0
60342,36237,0,0,deny,66,66,0,1,0,1,0
51743,64147,0,0,deny,62,62,0,1,0,1,0
1574,50584,0,0,deny,62,62,0,1,0,1,0
55001,445,0,0,drop,70,70,0,1,0,1,0
1114,37965,0,0,deny,62,62,0,1,0,1,0
30729,22114,0,0,deny,66,66,0,1,0,1,0
26085,51221,0,0,deny,72,72,0,1,0,1,0
60999,445,0,0,drop,70,70,0,1,0,1,0
58421,30188,0,0,deny,66,66,0,1,0,1,0
51244,21162,0,0,deny,100,100,0,1,0,1,0
64583,445,0,0,drop,70,70,0,1,0,1,0
3375,35253,0,0,deny,62,62,0,1,0,1,0
55553,37965,0,0,deny,66,66,0,1,0,1,0
58399,56205,0,0,deny,62,62,0,1,0,1,0
64883,445,0,0,drop,70,70,0,1,0,1,0
58725,7302,0,0,deny,66,66,0,1,0,1,0
11056,6881,0,0,deny,146,146,0,1,0,1,0
62347,25,62347,25,deny,291,126,165,4,0,2,2
58851,445,0,0,drop,70,70,0,1,0,1,0
57030,445,0,0,drop,66,66,0,1,0,1,0
16059,22114,0,0,deny,62,62,0,1,0,1,0
3478,61463,0,0,deny,164,164,0,1,0,1,0
54573,445,0,0,drop,70,70,0,1,0,1,0
55429,25174,0,0,deny,66,66,0,1,0,1,0
21542,57470,0,0,deny,74,74,0,1,0,1,0
64404,445,0,0,drop,66,66,0,1,0,1,0
54404,445,0,0,drop,70,70,0,1,0,1,0
50842,445,0,0,drop,70,70,0,1,0,1,0
50387,445,0,0,drop,70,70,0,1,0,1,0
25565,27942,0,0,deny,60,60,0,1,0,1,0
57476,445,0,0,drop,66,66,0,1,0,1,0
57519,445,0,0,drop,70,70,0,1,0,1,0
56361,445,0,0,drop,70,70,0,1,0,1,0
36641,25174,0,0,deny,66,66,0,1,0,1,0
64941,445,0,0,drop,66,66,0,1,0,1,0
14263,22114,0,0,deny,62,62,0,1,0,1,0
29682,44847,0,0,deny,62,62,0,1,0,1,0
52945,445,0,0,drop,70,70,0,1,0,1,0
27321,25174,0,0,deny,62,62,0,1,0,1,0
7435,62609,0,0,deny,148,148,0,1,0,1,0
52391,445,0,0,drop,66,66,0,1,0,1,0
40185,64147,0,0,deny,62,62,0,1,0,1,0
1025,50584,0,0,deny,62,62,0,1,0,1,0
57918,445,0,0,drop,70,70,0,1,0,1,0
54710,445,0,0,drop,66,66,0,1,0,1,0
37837,37965,0,0,deny,62,62,0,1,0,1,0
26408,64147,0,0,deny,66,66,0,1,0,1,0
49505,445,0,0,drop,66,66,0,1,0,1,0
3559,51050,0,0,deny,146,146,0,1,0,1,0
16270,56205,0,0,deny,62,62,0,1,0,1,0
23197,44847,0,0,deny,62,62,0,1,0,1,0
46839,51050,0,0,deny,62,62,0,1,0,1,0
55678,32468,0,0,deny,66,66,0,1,0,1,0
62339,25174,0,0,deny,62,62,0,1,0,1,0
54709,445,0,0,drop,66,66,0,1,0,1,0
5227,50584,0,0,deny,146,146,0,1,0,1,0
21348,22,0,0,deny,60,60,0,1,0,1,0
50358,445,0,0,drop,66,66,0,1,0,1,0
60891,445,0,0,drop,66,66,0,1,0,1,0
50316,37965,0,0,deny,66,66,0,1,0,1,0
65274,445,0,0,drop,70,70,0,1,0,1,0
55086,445,0,0,drop,70,70,0,1,0,1,0
53985,30188,0,0,deny,66,66,0,1,0,1,0
64997,51221,0,0,deny,66,66,0,1,0,1,0
62976,445,0,0,drop,70,70,0,1,0,1,0
50570,57470,0,0,deny,66,66,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
58638,5900,0,0,deny,62,62,0,1,0,1,0
23936,35440,0,0,deny,62,62,0,1,0,1,0
54328,445,0,0,drop,66,66,0,1,0,1,0
51981,445,0,0,drop,70,70,0,1,0,1,0
65000,445,0,0,drop,70,70,0,1,0,1,0
56966,35440,0,0,deny,66,66,0,1,0,1,0
54088,445,0,0,drop,70,70,0,1,0,1,0
57473,445,0,0,drop,70,70,0,1,0,1,0
54748,445,0,0,drop,70,70,0,1,0,1,0
443,61686,0,0,deny,1484,1484,0,1,0,1,0
49325,445,0,0,drop,70,70,0,1,0,1,0
32704,46824,0,0,deny,66,66,0,1,0,1,0
54385,445,0,0,drop,70,70,0,1,0,1,0
57123,445,0,0,drop,70,70,0,1,0,1,0
57089,445,0,0,drop,70,70,0,1,0,1,0
6881,6881,0,0,deny,146,146,0,1,0,1,0
64469,445,0,0,drop,70,70,0,1,0,1,0
